,formatted_address,name,opening_hours,place_id,price_level,rating,types,user_ratings_total,website
70,"910 Freeport Rd, Pittsburgh, PA 15238, United States",Giant Eagle Market District,{'open_now': False},ChIJ-VxiqRPtNIgR0YeU8bWls60,,4.2,"['grocery_or_supermarket', 'pharmacy', 'store', 'health', 'point_of_interest', 'food', 'establishment']",382,https://www.gianteagle.com/stores/pa/pittsburgh/waterworks-market-district/72
71,"4091 William Flinn Hwy, Allison Park, PA 15101, United States",Davis & Davis Gourmet Foods,,ChIJp7FjgASNNIgRRVKhtguj_Ss,,5.0,"['grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",2,http://www.davisanddavisonline.com/start.htm
72,"2601 Perrysville Ave, Pittsburgh, PA 15214, United States",Perry Market,{'open_now': True},ChIJnw3jHHb0NIgRZVGrGEDMmfw,,3.9,"['grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",160,http://perry-market.poi.place/
73,"3239 Washington Pike, Bridgeville, PA 15017, United States",Not SHOP 'n SAVE,,ChIJpS_HOchXNIgRY4ITnp0YAEg,,4.0,"['grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",6,http://www.shopnsavefood.com/
74,"80 Emerson Ln # 1306, Bridgeville, PA 15017, United States",Crossmark,{'open_now': False},ChIJ3VitNb9XNIgRraVJmBrgObQ,,0.0,"['grocery_or_supermarket', 'point_of_interest', 'store', 'food', 'establishment']",0,https://www.crossmark.com/
75,"1435 Potomac Ave, Pittsburgh, PA 15216, United States",Jmart International Market,{'open_now': False},ChIJT3ZXahf3NIgRjRTGykAGTbg,,4.4,"['grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",260,https://m.facebook.com/Jmart-International-Market-789770034461137/
76,"1705 S Braddock Ave, Pittsburgh, PA 15218, United States",Giant Eagle,{'open_now': False},ChIJjz75bHDuNIgRyfZ8CqE-T1E,2.0,4.1,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",10,http://gianteagle.com/
77,"700 Beulah Rd, Turtle Creek, PA 15145, United States",Beulah Road Shopping Center,{'open_now': False},ChIJowc-fanuNIgR-qwb0DastMs,,4.2,"['grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",533,http://beulah-center.edan.io/
78,"1630 Washington Rd, Pittsburgh, PA 15241, United States",Trader Joe's,{'open_now': False},ChIJHZEuFcv5NIgRx5ZEUOiKFIw,2.0,4.7,"['grocery_or_supermarket', 'supermarket', 'store', 'health', 'food', 'point_of_interest', 'establishment']",1989,https://locations.traderjoes.com/pa/pittsburgh/630/?utm_source=gmb&utm_medium=organic&utm_campaign=local
79,"4971 PA-66, Apollo, PA 15613, United States",Naser Foods,{'open_now': False},ChIJ32WtEFa3NIgRWS1kHJByQJA,,4.6,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",1010,http://naserfoods.com/
